Lambda,Tau,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Average Asset Breadth
0.1,0.0005,4.57305069753232,0.25887892744878727,0.2787359716412483,0.9287603818210505,59.187444739168875
0.1,0.001,4.358224879738459,0.2567652982156605,0.2881801823538266,0.8909887422460057,57.90406719717065
0.1,0.005,4.357510120373886,0.2567358067498118,0.2881501487654329,0.8909792615058,57.91246684350133
0.5,0.0005,5.188261251106311,0.26803552098299077,0.262058486894109,1.0228080157209216,34.8894783377542
0.5,0.001,4.801172208333055,0.2595380347750571,0.2638297362020814,0.9837330640252885,34.84129089301503
0.5,0.005,4.8015765866177125,0.2595515028226574,0.26384082858782615,0.98374275206712,34.84084880636605
1.0,0.0005,5.022546737395223,0.26235863167002615,0.2560796717316789,1.0245195563391942,15.560123784261716
1.0,0.001,5.033023018073215,0.26281846562899336,0.25675640756571566,1.0236101529880073,15.351016799292662
1.0,0.005,5.033092776844508,0.26282099203712117,0.25675916953863165,1.0236089815580178,15.351016799292662
2.5,0.0005,6.966294813828186,0.31660292997430983,0.2960160997989807,1.0695463192350325,7.475243147656941
2.5,0.001,6.8329459933785515,0.3202517253147459,0.3111311501552016,1.0293142462752272,6.6560565870910695
2.5,0.005,6.83294516655419,0.3202517036515271,0.3111311311850238,1.029314239406919,6.656498673740053
